Title,Year,Genre,budget,opening weekend,worldwide gross,Rotten Tomatoes score
The Hunger Games: Mockingjay - Part 2,2015,"Action, Adventure, Sci-Fi",160000000.0,10890471.016666668,653428261.0,70
Star Wars: Episode II - Attack of the Clones,2002,"Action, Adventure, Fantasy",120000000.0,10896332.833333334,653779970.0,65
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy",140000000.0,10904400.25,654264015.0,80
"Monsters, Inc.",2001,"Animation, Adventure, Comedy",115000000.0,9661795.633333333,579707738.0,96
I Am Legend,2007,"Action, Drama, Sci-Fi",150000000.0,9756834.2,585410052.0,68
Iron Man,2008,"Action, Adventure, Sci-Fi",140000000.0,9763270.783333333,585796247.0,94
The Hangover Part II,2011,Comedy,80000000.0,9779405.083333334,586764305.0,34
The Croods,2013,"Animation, Adventure, Comedy",135000000.0,9787266.383333333,587235983.0,71
Men in Black,1997,"Action, Adventure, Comedy",90000000.0,9823175.65,589390539.0,91
Quantum of Solace,2008,"Action, Adventure, Mystery",200000000.0,9826341.366666667,589580482.0,64
Tangled,2010,"Animation, Adventure, Comedy",260000000.0,9874380.266666668,592462816.0,89
War of the Worlds,2005,"Action, Adventure, Sci-Fi",132000000.0,10064551.983333332,603873119.0,75
Madagascar: Escape 2 Africa,2008,"Animation, Adventure, Comedy",150000000.0,10065005.9,603900354.0,64
Life of Pi,2012,"Adventure, Drama, Fantasy",120000000.0,10150276.083333334,609016565.0,86
The Passion of the Christ,2004,Drama,30000000.0,10200908.433333334,612054506.0,49
Casino Royale,2006,"Action, Adventure, Thriller",150000000.0,10275086.033333333,616505162.0,94
Casino Royale,2006,"Action, Adventure, Thriller",150000000.0,10275086.033333333,616505162.0,94
Despicable Me,2010,"Animation, Adventure, Comedy",69000000.0,9052633.083333334,543157985.0,80
Sherlock Holmes: A Game of Shadows,2011,"Action, Adventure, Mystery",125000000.0,9064140.3,543848418.0,59
X-Men: Apocalypse,2016,"Action, Adventure, Sci-Fi",178000000.0,9065568.416666666,543934105.0,47
American Sniper,2014,"Action, Biography, Drama",58800000.0,9124317.0,547459020.0,72
Ted,2012,Comedy,50000000.0,9156138.583333334,549368315.0,69
