Title,Year,Genre,Runtime,Gross,imdbRating,imdbRatingVotes,metascoreRating,rottenRating,metacriticRating
Yes Man,2008,"Comedy, Romance",104,223241637,6.8,366485,46,46,46
Non-Stop,2014,"Action, Mystery, Thriller",106,222809600,6.9,267297,56,61,56
"Honey, I Shrunk the Kids",1989,"Adventure, Comedy, Family",93,222724172,6.4,157545,63,78,63
Fahrenheit 9/11,2004,"Documentary, Drama, War",122,222446882,7.5,130298,67,82,67
Wild Wild West,1999,"Action, Comedy, Sci-Fi",106,222104681,4.9,162732,38,16,38
"My Country, My Parents",2021,Drama,157,221831086,,429,,16,38
Geostorm,2017,"Action, Sci-Fi, Thriller",109,221600160,5.3,110315,21,17,21
Presumed Innocent,1990,"Mystery, Thriller",127,221303188,6.9,43185,72,86,72
Jungle Cruise,2021,"Action, Adventure, Comedy",127,220889446,6.6,194035,50,63,50
Scary Movie 3,2003,Comedy,84,220673217,5.5,149502,49,35,49
Collateral,2004,"Action, Crime, Drama",120,220239925,7.5,410055,71,86,71
Inferno,2016,"Action, Adventure, Crime",121,220021259,6.2,178637,42,23,42
Knocked Up,2007,"Comedy, Romance",129,219922417,6.9,372992,85,89,85
Green Lantern,2011,"Action, Adventure, Sci-Fi",114,219851172,5.5,287756,39,26,39
What Happens in Vegas,2008,"Comedy, Romance",99,219375562,6.1,178960,36,25,36
It's Complicated,2009,"Comedy, Drama, Romance",120,219103655,6.5,94212,57,59,57
The Terminal,2004,"Comedy, Drama, Romance",128,219100084,7.4,465268,55,61,55
Little Women,2019,"Drama, Romance",135,218843645,7.8,209861,91,95,91
Captain Phillips,2013,"Action, Biography, Crime",134,218791811,7.8,465426,82,93,82
The Prince of Egypt,1998,"Animation, Adventure, Drama",99,218613188,7.1,134906,64,79,64
Jack Reacher,2012,"Action, Mystery, Thriller",130,218340595,7,345723,50,63,50
Kingdom of Heaven,2005,"Action, Adventure, Drama",144,218122627,7.2,292816,63,39,63
The Emoji Movie,2017,"Animation, Adventure, Comedy",86,217776646,3.4,65847,12,6,12
Too Cool to Kill,2022,Comedy,109,217254604,6.1,566,,6,12
Dracula Untold,2014,"Action, Drama, Fantasy",92,217124280,6.2,198306,40,25,40
Central Intelligence,2016,"Action, Comedy, Crime",107,216972543,6.3,194459,52,71,52
Million Dollar Baby,2004,"Drama, Sport",132,216763646,8.1,690777,86,90,86
The Help,2011,Drama,146,216639112,8.1,463375,62,76,62
Twins,1988,"Comedy, Crime",107,216614388,6.1,127920,53,42,53
Valentine's Day,2010,"Comedy, Romance",125,216528528,5.7,121045,34,18,34
Bad Teacher,2011,"Comedy, Romance",92,216197492,5.6,205573,47,45,47
Smile,2022,"Horror, Mystery, Thriller",115,216135048,6.6,90200,68,80,68
A Little Red Flower,2020,"Drama, Family",122,216000000,6.7,684,,80,68
The Croods: A New Age,2020,"Animation, Adventure, Comedy",95,215905815,6.9,45514,56,77,56
Clear and Present Danger,1994,"Action, Crime, Drama",141,215887717,6.9,101820,74,80,74
One Hundred and One Dalmatians,1961,"Animation, Adventure, Comedy",79,215880014,7.3,171132,83,98,83
Ted 2,2015,Comedy,115,215863606,6.3,214459,48,44,48
Dracula,1992,"Drama, Fantasy, Horror",128,215862692,7.4,221713,57,77,57
